ID Банкомата;Адрес строкой RU;;;;;;;;;;;;;;;;;;;
ATM50042;Край Приморский Город Артем Улица Вахрушева Дом 13;;;;;;;;;;;;;;;;;;;
ATM50045;Республика Бурятия Город Улан-Удэ Улица Туполева Дом 4;;;;;;;;;;;;;;;;;;;
ATM50047;Город Москва Улица Новочеремушкинская Дом 10;;;;;;;;;;;;;;;;;;;
ATM50048;Республика Бурятия Район Заиграевский Поселок городского типа Заиграево Улица Октябрьская Дом 2;;;;;;;;;;;;;;;;;;;
ATM50051;Край Красноярский Город Норильск Проспект Ленинский Дом 12;;;;;;;;;;;;;;;;;;;
ATM50057;Край Красноярский Город Норильск Улица Бегичева Дом 10;;;;;;;;;;;;;;;;;;;
ATM50072;Город Москва Проезд Мурманский Дом 14 корп. 1;;;;;;;;;;;;;;;;;;;
ATM50073;Республика Хакасия Город Абакан Улица Маршала Жукова Дом 18;;;;;;;;;;;;;;;;;;;
ATM50080;Город Москва Город Зеленоград Аллея Сосновая Строение 601;;;;;;;;;;;;;;;;;;;
ATM50083;Край Красноярский Город Красноярск Улица 9 Мая Дом 72;;;;;;;;;;;;;;;;;;;
ATM50118;Город Москва Улица Пятницкая Дом 2/38 стр.2;;;;;;;;;;;;;;;;;;;
ATM50126;Область Иркутская Город Иркутск Улица Советская Дом 139А;;;;;;;;;;;;;;;;;;;
ATM50128;Республика Тыва Город Кызыл Улица Кечил-оол Дом 7б;;;;;;;;;;;;;;;;;;;
ATM50139;Республика Тыва Город Кызыл Улица Кечил-оол Дом 65;;;;;;;;;;;;;;;;;;;
ATM50144;Республика Тыва Город Кызыл Улица Кочетова Дом 1;;;;;;;;;;;;;;;;;;;
ATM50149;Край Приморский Город Владивосток Проспект Океанский Дом 52-А;;;;;;;;;;;;;;;;;;;
ATM50150;Область Нижегородская Город Нижний Новгород Площадь Советская Дом 5;;;;;;;;;;;;;;;;;;;
ATM50151;Край Приморский Район Хасанский Поселок городского типа Славянка Улица Ленинская Дом 64;;;;;;;;;;;;;;;;;;;
ATM50152;Край Приморский Город Артем Улица Кирова Дом 48;;;;;;;;;;;;;;;;;;;
ATM50155;Область Курганская Город Курган Площадь Собанина Дом 1;;;;;;;;;;;;;;;;;;;
ATM50164;Край Приморский Город Владивосток Улица Борисенко Дом 35;;;;;;;;;;;;;;;;;;;
ATM50165;Область Амурская Район Ромненский Село Ромны Улица Советская Дом 100;;;;;;;;;;;;;;;;;;;
ATM50166;Область Саратовская Город Балаково Улица Академика Жук Дом 34;;;;;;;;;;;;;;;;;;;
