,ID Банкомата,Адрес строкой RU,coord,coord_x,0,1
0,ATM50042,Край Приморский Город Артем Улица Вахрушева Дом 13,"<[OK] Yandex - Geocode [Russia, Primorye Territory, Artyom, ulitsa Vakhrusheva, 13]>","['43.34735', '132.124104']",43.34735,132.124104
1,ATM50045,Республика Бурятия Город Улан-Удэ Улица Туполева Дом 4,"<[OK] Yandex - Geocode [Russia, Republic of Buryatia, Ulan-Ude, mikrorayon Vostochny, ulitsa Tupoleva, 4]>","['51.866447', '107.745561']",51.866447,107.745561
2,ATM50047,Город Москва Улица Новочеремушкинская Дом 10,"<[OK] Yandex - Geocode [Russia, Moscow, Novocheryomushkinskaya Street, 10]>","['55.686817', '37.583724']",55.686817,37.583724
3,ATM50048,Республика Бурятия Район Заиграевский Поселок городского типа Заиграево Улица Октябрьская Дом 2,"<[OK] Yandex - Geocode [Russia, Republic of Buryatia, Zaigrayevskiy rayon, poselok gorodskogo tipa Zaigrayevo, Oktyabrskaya ulitsa, 2]>","['51.834286', '108.26556']",51.834286,108.26556
4,ATM50051,Край Красноярский Город Норильск Проспект Ленинский Дом 12,"<[OK] Yandex - Geocode [Russia, Krasnoyarsk Territory, Norilsk, Leninskiy prospekt, 12]>","['69.34518', '88.209162']",69.34518,88.209162
5,ATM50057,Край Красноярский Город Норильск Улица Бегичева Дом 10,"<[OK] Yandex - Geocode [Russia, Krasnoyarsk Territory, Norilsk, ulitsa Begicheva, 10]>","['69.363363', '88.187306']",69.363363,88.187306
6,ATM50072,Город Москва Проезд Мурманский Дом 14 корп. 1,"<[OK] Yandex - Geocode [Russia, Moscow, Murmansky Drive, 14к1]>","['55.807015', '37.622315']",55.807015,37.622315
7,ATM50073,Республика Хакасия Город Абакан Улица Маршала Жукова Дом 18,"<[OK] Yandex - Geocode [Russia, Republic of Khakassia, Abakan, ulitsa Marshala Zhukova, 18]>","['53.723757', '91.462052']",53.723757,91.462052
8,ATM50080,Город Москва Город Зеленоград Аллея Сосновая Строение 601,"<[OK] Yandex - Geocode [Russia, Moscow]>","['55.755814', '37.617635']",55.755814,37.617635
9,ATM50083,Край Красноярский Город Красноярск Улица 9 Мая Дом 72,"<[OK] Yandex - Geocode [Russia, Krasnoyarsk, ulitsa 9 Maya, 72]>","['56.051441', '92.897694']",56.051441,92.897694
10,ATM50118,Город Москва Улица Пятницкая Дом 2/38 стр.2,"<[OK] Yandex - Geocode [Russia, Moscow, Pyatnitskaya Street, 2/38с2]>","['55.745093', '37.626744']",55.745093,37.626744
11,ATM50126,Область Иркутская Город Иркутск Улица Советская Дом 139А,"<[OK] Yandex - Geocode [Russia, Irkutsk, Sovetskaya ulitsa, 139А]>","['52.280007', '104.356586']",52.280007,104.356586
12,ATM50128,Республика Тыва Город Кызыл Улица Кечил-оол Дом 7б,"<[OK] Yandex - Geocode [Russia, Republic of Tyva, Kyzyl]>","['51.719086', '94.437757']",51.719086,94.437757
13,ATM50139,Республика Тыва Город Кызыл Улица Кечил-оол Дом 65,"<[OK] Yandex - Geocode [Russia, Republic of Tyva, Kyzyl]>","['51.719086', '94.437757']",51.719086,94.437757
14,ATM50144,Республика Тыва Город Кызыл Улица Кочетова Дом 1,"<[OK] Yandex - Geocode [Russia, Republic of Tyva, Kyzyl, ulitsa Kochetova, 1]>","['51.720358', '94.453666']",51.720358,94.453666
15,ATM50149,Край Приморский Город Владивосток Проспект Океанский Дом 52-А,"<[OK] Yandex - Geocode [Russia, Primorye Territory, Vladivostok, Okeanskiy prospekt, 52А]>","['43.129493', '131.893219']",43.129493,131.893219
16,ATM50150,Область Нижегородская Город Нижний Новгород Площадь Советская Дом 5,"<[OK] Yandex - Geocode [Russia, Nizhniy Novgorod, Sovetskaya Square, 5]>","['56.296299', '44.042485']",56.296299,44.042485
17,ATM50151,Край Приморский Район Хасанский Поселок городского типа Славянка Улица Ленинская Дом 64,"<[OK] Yandex - Geocode [Russia, Primorye Territory, Khasanskiy rayon, posyolok gorodskogo tipa Slavyanka, Leninskaya ulitsa, 64А]>","['42.864763', '131.382581']",42.864763,131.382581
18,ATM50152,Край Приморский Город Артем Улица Кирова Дом 48,"<[OK] Yandex - Geocode [Russia, Primorye Territory, Artyom, ulitsa Kirova, 48]>","['43.355184', '132.195377']",43.355184,132.195377
19,ATM50155,Область Курганская Город Курган Площадь Собанина Дом 1,"<[OK] Yandex - Geocode [Russia, Kurgan, ploshchad imeni Valeriya Sobanina, 1]>","['55.440447', '65.317133']",55.440447,65.317133
20,ATM50164,Край Приморский Город Владивосток Улица Борисенко Дом 35,"<[OK] Yandex - Geocode [Russia, Primorye Territory, Vladivostok, Borisenko Street, 35]>","['43.097284', '131.956541']",43.097284,131.956541
21,ATM50165,Область Амурская Район Ромненский Село Ромны Улица Советская Дом 100,"<[OK] Yandex - Geocode [Russia, Amurskaya oblast, Romnenskiy rayon, selo Romny, Sovetskaya ulitsa, 100]>","['50.719203', '129.290099']",50.719203,129.290099
22,ATM50166,Область Саратовская Город Балаково Улица Академика Жук Дом 34,"<[OK] Yandex - Geocode [Russia, Saratov Region, Balakovo, ulitsa Akademika Zhuk, 34]>","['52.022076', '47.783276']",52.022076,47.783276
23,ATM50170,Республика Башкортостан Район Стерлитамакский Город Стерлитамак Улица Гоголя Дом 3,"<[OK] Yandex - Geocode [Russia, Republic of Bashkortostan, Sterlitamak, ulitsa Gogolya, 3]>","['53.610166', '55.952403']",53.610166,55.952403
24,ATM50171,Область Амурская Город Благовещенск Улица Институтская Дом 6,"<[OK] Yandex - Geocode [Russia, Amurskaya oblast, Blagoveschensk, Institutskaya ulitsa, 6]>","['50.298035', '127.525511']",50.298035,127.525511
25,ATM50175,Республика Саха /Якутия/ Улус Алданский Поселок городского типа Нижний Куранах Улица Строительная Дом 7а,"<[OK] Yandex - Geocode [Russia, Republic of Sakha (Yakutia), Aldanskiy munitsipalny rayon, Settlement of Nizhniy Kuranakh, Stroitelnaya ulitsa, 7А]>","['58.820673', '125.534288']",58.820673,125.534288
26,ATM50182,Область Брянская Город Клинцы Улица Ворошилова Дом 3,"<[OK] Yandex - Geocode [Russia, Bryansk Region, Klintsy, ulitsa Voroshilova, 3]>","['52.754817', '32.255924']",52.754817,32.255924
27,ATM50189,"Республика Хакасия Город Абакан Улица Крылова Дом 66 ""б""","<[OK] Yandex - Geocode [Russia, Republic of Khakassia, Abakan, ulitsa Krylova, 66Б]>","['53.736392', '91.446331']",53.736392,91.446331
28,ATM50193,Город Москва Улица Привольная Дом 70 стр 1,"<[OK] Yandex - Geocode [Russia, Moscow, Privolnaya Street, 70к1]>","['55.677763', '37.854629']",55.677763,37.854629
29,ATM50194,Область Московская Район Истринский Деревня Лешково,"<[OK] Yandex - Geocode [Russia, Moscow Region, gorodskoy okrug Istra, derevnya Leshkovo]>","['55.814067', '37.10529']",55.814067,37.10529
30,ATM50195,"Город Санкт-Петербург Проспект Искровский Дом 29, кор. 2, лит.А","<[OK] Yandex - Geocode [Russia, Saint Petersburg, Iskrovsky Avenue, 29к2]>","['59.898336', '30.472867']",59.898336,30.472867
31,ATM50196,"Город Санкт-Петербург Улица Советская 2-я Дом 17, лит. А","<[OK] Yandex - Geocode [Russia, Saint Petersburg, 2nd Sovetskaya Street, 17]>","['59.931648', '30.368096']",59.931648,30.368096
32,ATM50197,Город Санкт-Петербург Проспект Комендантский Дом 11,"<[OK] Yandex - Geocode [Russia, Saint Petersburg, Komendantskiy prospekt, 11А]>","['60.006507', '30.262293']",60.006507,30.262293
33,ATM50198,Область Оренбургская Город Оренбург Шоссе Шарлыкское Дом 1,"<[OK] Yandex - Geocode [Russia, Orenburg, Sharlykskoye shosse, 1]>","['51.841887', '55.118668']",51.841887,55.118668
34,ATM50204,Область Амурская Город Тында Улица Красная Пресня Дом 10,"<[OK] Yandex - Geocode [Russia, Amurskaya oblast, Tynda, ulitsa Krasnaya Presnya, 10]>","['55.149023', '124.731535']",55.149023,124.731535
35,ATM50205,Республика Башкортостан Город Нефтекамск Проспект комсомольский Дом 13,"<[OK] Yandex - Geocode [Russia, Republic of Bashkortostan, Neftekamsk, Komsomolskiy Avenue, 13]>","['56.093084', '54.252566']",56.093084,54.252566
36,ATM50206,Республика Тыва Город Кызыл Улица Кочетова Дом 104,"<[OK] Yandex - Geocode [Russia, Republic of Tyva, Kyzyl, ulitsa Kochetova, 104]>","['51.71792', '94.423231']",51.71792,94.423231
37,ATM50211,Область Брянская Город Брянск Улица 3 Интернационала Дом 8,"<[OK] Yandex - Geocode [Russia, Bryansk, ulitsa 3 Internatsionala, 8]>","['53.307939', '34.301828']",53.307939,34.301828
38,ATM50218,Область Самарская Город Тольятти Улица Комсомольская Дом 76,"<[OK] Yandex - Geocode [Russia, Samara Region, Tolyatti, Komsomolskaya ulitsa, 76]>","['53.519311', '49.416485']",53.519311,49.416485
39,ATM50219,Республика Мордовия Город Саранск Улица Коммунистическая Дом 34,"<[OK] Yandex - Geocode [Russia, Republic of Mordovia, Saransk, Kommunisticheskaya Street, 34]>","['54.183997', '45.184657']",54.183997,45.184657
40,ATM50232,Область Волгоградская Город Волжский Проспект Ленина Дом 43,"<[OK] Yandex - Geocode [Russia, Volgograd Region, Volzhsky, prospekt imeni Lenina, 43]>","['48.799956', '44.743764']",48.799956,44.743764
41,ATM50233,Область Пензенская Город Пенза Проспект Строителей Дом 1-В,"<[OK] Yandex - Geocode [Russia, Penza, Stroiteley Avenue, 1В]>","['53.22053', '44.95167']",53.22053,44.95167
42,ATM50234,Область Московская Город Коломна Улица Цементников Дом 1,"<[OK] Yandex - Geocode [Russia, Moscow Region, Kolomna, ulitsa Tsementnikov, 1]>","['55.060106', '38.839578']",55.060106,38.839578
