bank;level;is_walk_in;bucket;REP_MONTH;GEN_MONTH;prod_type;CLIENT_CATEGORY_BUDGET;NUM;VAR;NUM_REG;VAR_REG
RB;1;0;Cumulative 1-180;2018-12-01 00:00:00.000;2018-06-01 00:00:00.000;Cards/Revolving;Depositors;8;1210047.79;8;1210047,79
RB;1;0;Cumulative 1-180;2018-12-01 00:00:00.000;2018-06-01 00:00:00.000;Cards/Revolving;Payroll;3213;349193373.36;3131;337365287,4
RB;1;0;Cumulative 1-180;2018-12-01 00:00:00.000;2018-06-01 00:00:00.000;Cars;Bona-fide;866;152696347.55;855;150084741,7
RB;1;0;Cumulative 1-180;2018-12-01 00:00:00.000;2018-06-01 00:00:00.000;Cars;Cars;1;15411.81;1;15411,81
RB;1;0;Cumulative 1-180;2018-12-01 00:00:00.000;2018-06-01 00:00:00.000;Cars;Payroll;41;11420723.54;41;11420723,54
RB;1;0;Cumulative 1-180;2018-12-01 00:00:00.000;2018-06-01 00:00:00.000;Consumer;Bona-fide;20329;5317662117.72;19898;5180986938
RB;1;0;Cumulative 1-180;2018-12-01 00:00:00.000;2018-06-01 00:00:00.000;Consumer;Consumer;21;691519.30;21;691519,3
RB;1;0;Cumulative 1-180;2018-12-01 00:00:00.000;2018-06-01 00:00:00.000;Consumer;Payroll;8780;2086037149.99;8629;2049100649
RB;1;0;Cumulative 1-180;2018-12-01 00:00:00.000;2018-06-01 00:00:00.000;Mortgage;Bona-fide;616;1026614816.88;614;1013210161
RB;1;0;Cumulative 1-180;2018-12-01 00:00:00.000;2018-06-01 00:00:00.000;Mortgage;Mortgage;543;634112981.83;541;629166948,3
RB;1;0;Cumulative 1-180;2018-12-01 00:00:00.000;2018-06-01 00:00:00.000;Mortgage;Payroll;389;558106588.69;388;556419194,8
RB;1;0;Cumulative 1-180;2018-12-01 00:00:00.000;2018-06-01 00:00:00.000;PRO Individuals;Bona-fide;9;1826318.40;9;1826318,4
RB;1;0;Cumulative 1-180;2019-01-01 00:00:00.000;2018-07-01 00:00:00.000;Cards/Revolving;Bona-fide;9551;1208427274.85;9322;1166599754
RB;1;0;Cumulative 1-180;2019-01-01 00:00:00.000;2018-07-01 00:00:00.000;Cards/Revolving;Cards/Revolving;40;3707430.05;39;3700714,21
RB;1;0;Cumulative 1-180;2019-01-01 00:00:00.000;2018-07-01 00:00:00.000;Cards/Revolving;Depositors;10;3928189.97;10;3928189,97
RB;1;0;Cumulative 1-180;2019-01-01 00:00:00.000;2018-07-01 00:00:00.000;Cards/Revolving;Payroll;10585;787306362.17;10302;761862439,7
RB;1;0;Cumulative 1-180;2019-01-01 00:00:00.000;2018-07-01 00:00:00.000;Cars;Bona-fide;966;173661948.77;948;170612052,4
RB;1;0;Cumulative 1-180;2019-01-01 00:00:00.000;2018-07-01 00:00:00.000;Cars;Cars;1;12302.01;1;12302,01
RB;1;0;Cumulative 1-180;2019-01-01 00:00:00.000;2018-07-01 00:00:00.000;Cars;Payroll;45;9966141.71;43;9737681,55
RB;1;0;Cumulative 1-180;2019-01-01 00:00:00.000;2018-07-01 00:00:00.000;Consumer;Bona-fide;22602;6100327236.71;22092;5938293437
