dt;budget;prod_type;bucket;cor;cor_cum
2019-01-01 00:00:00.0000000;Estimate;Mortgage;Total;14,77;14,77
2019-02-01 00:00:00.0000000;Estimate;Mortgage;Total;14,77;29,54
2019-03-01 00:00:00.0000000;Estimate;Mortgage;Total;4,67;34,21
2019-04-01 00:00:00.0000000;Estimate;Mortgage;Total;4,58;38,79
2019-05-01 00:00:00.0000000;Estimate;Mortgage;Total;4,58;43,37
2019-06-01 00:00:00.0000000;Estimate;Mortgage;Total;4,58;47,95
2019-07-01 00:00:00.0000000;Estimate;Mortgage;Total;4,58;52,53
2019-08-01 00:00:00.0000000;Estimate;Mortgage;Total;4,58;57,11
2019-09-01 00:00:00.0000000;Estimate;Mortgage;Total;4,58;61,69
2019-10-01 00:00:00.0000000;Estimate;Mortgage;Total;4,58;66,27
2019-11-01 00:00:00.0000000;Estimate;Mortgage;Total;4,58;70,85
2019-12-01 00:00:00.0000000;Estimate;Mortgage;Total;4,58;75,43
2019-01-01 00:00:00.0000000;Fact;Consumer;S2;33,13251336;33,13251336
2019-02-01 00:00:00.0000000;Fact;Consumer;S2;46,62810081;79,76061417
2019-03-01 00:00:00.0000000;Fact;Consumer;S2;89,22834632;168,9889605
2019-01-01 00:00:00.0000000;Fact;Mortgage;S3;18,6264677;18,6264677
2019-02-01 00:00:00.0000000;Fact;Mortgage;S3;17,00431004;35,63077774
2019-03-01 00:00:00.0000000;Fact;Mortgage;S3;-29,99446547;5,636312275
2019-01-01 00:00:00.0000000;Fact;SE;S2;0,451348113;0,451348113
2019-02-01 00:00:00.0000000;Fact;SE;S2;-4,373679163;-3,92233105
2019-03-01 00:00:00.0000000;Fact;SE;S2;18,41034729;14,48801624
2019-01-01 00:00:00.0000000;Fact;State duties;S3;-42,85985877;-42,85985877
2019-02-01 00:00:00.0000000;Fact;State duties;S3;50,49243348;7,632574714
2019-01-01 00:00:00.0000000;Estimate;PRO/VIP;Total;15,33;15,33
2019-02-01 00:00:00.0000000;Estimate;PRO/VIP;Total;15,33;30,66
2019-03-01 00:00:00.0000000;Estimate;PRO/VIP;Total;15,4;46,06
2019-04-01 00:00:00.0000000;Estimate;PRO/VIP;Total;15,4;61,46
2019-05-01 00:00:00.0000000;Estimate;PRO/VIP;Total;15,4;76,86
2019-06-01 00:00:00.0000000;Estimate;PRO/VIP;Total;15,4;92,26
2019-07-01 00:00:00.0000000;Estimate;PRO/VIP;Total;15,4;107,66
