bank;bucket;qq;eff;target_val;plan_ff
DCB;CBR 180+;1q'2019;0.034761699;0.0374;0.929457204
DCB;CBR 180+;2q'2019;0.028930909;0;NULL
DCB;CBR 181-720;1q'2019;0.035687106;0.0349;1.022553176
DCB;CBR 181-720;2q'2019;0.033512451;0;NULL
DCB;CBR 720+;1q'2019;0.033304698;0.0405;0.822338216
DCB;CBR 720+;2q'2019;0.022297107;0;NULL
DCB;Cumulative 1-180;1q'2019;0.990000563;0.987;1.06978053
DCB;Cumulative 1-180;2q'2019;0.991985561;0;NULL
DCB;Cumulative 1-90;1q'2019;0.984224586;0.98;1.103543767
DCB;Cumulative 1-90;2q'2019;0.987375622;0;NULL
RB;CBR 180+;1q'2019;0.01094578;0.0136;0.804836735
RB;CBR 180+;2q'2019;0.012095212;0.0156;0.77533409
RB;CBR 181-720;1q'2019;0.014421692;0.0171;0.843373775
RB;CBR 181-720;2q'2019;0.015147633;0.018;0.841535157
RB;CBR 720+;1q'2019;0.009661012;0.0119;0.811849737
RB;CBR 720+;2q'2019;0.01095842;0.0139;0.788375509
RB;Cumulative 1-180;1q'2019;0.974956876;0.975;0.998443175
RB;Cumulative 1-180;2q'2019;0.974671098;0.975;0.988126283
RB;Cumulative 1-180 Consumer;1q'2019;0.971324247;0;NULL
RB;Cumulative 1-180 Consumer;2q'2019;0.970404383;0.974;0.617487592
RB;Cumulative 1-30;1q'2019;0.940349253;0;NULL
RB;Cumulative 1-30;2q'2019;0.938675652;0;NULL
RB;Cumulative 1-30 Consumer;1q'2019;0.93856479;0;NULL
RB;Cumulative 1-30 Consumer;2q'2019;0.939714871;0;NULL
RB;Cumulative 1-60;1q'2019;0.961531925;0;NULL
RB;Cumulative 1-60;2q'2019;0.957812944;0;NULL
RB;Cumulative 1-60 Consumer;1q'2019;0.959218004;0;NULL
RB;Cumulative 1-60 Consumer;2q'2019;0.952882703;0;NULL
RB;Cumulative 1-90;1q'2019;0.968130436;0.9701;0.964512368
RB;Cumulative 1-90;2q'2019;0.964901354;0.9704;0.901457966
RB;Cumulative 1-90 Consumer;1q'2019;0.966237817;0;NULL
RB;Cumulative 1-90 Consumer;2q'2019;0.961935286;0.97;0.402613811
RFB;CBR 180+;1q'2019;0.014957343;0.0167;0.895649282
RFB;CBR 180+;2q'2019;0.016482097;0.019;0.86747881
RFB;CBR 181-720;1q'2019;0.024203872;0.0265;0.913353679
RFB;CBR 181-720;2q'2019;0.024590319;0.027;0.910752547
RFB;CBR 720+;1q'2019;0.010111362;0.0123;0.822061916
RFB;CBR 720+;2q'2019;0.012201638;0.0147;0.830043396
RFB;Cumulative 1-180;1q'2019;0.983689272;0.9828;1.048861124
RFB;Cumulative 1-180;2q'2019;0.983497816;0.983;1.027055226
RFB;Cumulative 1-30;1q'2019;0.964107788;0;NULL
RFB;Cumulative 1-30;2q'2019;0.958431628;0;NULL
RFB;Cumulative 1-60;1q'2019;0.973058416;0;NULL
RFB;Cumulative 1-60;2q'2019;0.971036561;0;NULL
RFB;Cumulative 1-90;1q'2019;0.975171129;0.9792;0.822516677
RFB;Cumulative 1-90;2q'2019;0.985044211;0.9793;1.251939094
DCB;CBR 180+;y2019;0.032818103;0.0374;0.877489372
DCB;CBR 181-720;y2019;0.034962221;0.0349;1.001782829
DCB;CBR 720+;y2019;0.029635501;0.0405;0.731740763
DCB;Cumulative 1-180;y2019;0.990662229;0.987;1.085168114
DCB;Cumulative 1-90;y2019;0.985274931;0.98;1.129287526
RB;CBR 180+;y2019;0.011328924;0.0136;0.833009093
RB;CBR 181-720;y2019;0.014663672;0.0171;0.857524677
RB;CBR 720+;y2019;0.010093481;0.0119;0.84819169
RB;Cumulative 1-180;y2019;0.974861617;0.975;0.995004211
RB;Cumulative 1-180 Consumer;y2019;0.971017626;0;NULL
RB;Cumulative 1-30;y2019;0.939791386;0;NULL
RB;Cumulative 1-30 Consumer;y2019;0.938948151;0;NULL
RB;Cumulative 1-60;y2019;0.960292264;0;NULL
RB;Cumulative 1-60 Consumer;y2019;0.957106237;0;NULL
RB;Cumulative 1-90;y2019;0.967054076;0.9701;0.945118483
RB;Cumulative 1-90 Consumer;y2019;0.96480364;0;NULL
RFB;CBR 180+;y2019;0.015465594;0.0167;0.926083501
RFB;CBR 181-720;y2019;0.024332688;0.0265;0.918214638
RFB;CBR 720+;y2019;0.01080812;0.0123;0.878708972
RFB;Cumulative 1-180;y2019;0.983625454;0.9828;1.045354599
RFB;Cumulative 1-30;y2019;0.962215734;0;NULL
RFB;Cumulative 1-60;y2019;0.972384464;0;NULL
RFB;Cumulative 1-90;y2019;0.978462156;0.9792;0.967495866
